name,star,review_info,detail_info_link,type,now_price,old_price
"Panasonic ErgoFit In-Ear Earbud Headphones RP-HJE120-K (Black) Dynamic Crystal Clear Sound, Ergonomic Comfort-Fit",4.1 out of 5 stars,"59,526",https://www.amazon.com/Panasonic-Headphones-RP-HJE120-K-Ergonomic-Comfort-Fit/dp/B003EM8008/ref=sxin_2_ac_d_pm?ac_md=1-0-VW5kZXIgJDI1-ac_d_pm&keywords=headphones&pd_rd_i=B003EM8008&pd_rd_r=1bcb70c8-3f6e-4886-bb57-28e239d98fa0&pd_rd_w=pOJz3&pd_rd_wg=IQP2C&pf_rd_p=02e79b16-eab7-4369-852f-d04a58a4d9b5&pf_rd_r=A3N3741Y69TN8NNWHKA5&psc=1&qid=1570712325&s=aht,Electronics,$9.73,$15.00
Sony MDRXB50AP Extra Bass Earbud Headset (Black),4.2 out of 5 stars,"3,980",https://www.amazon.com/Sony-MDRXB50AP-Extra-Earbud-Headset/dp/B00JRD13T8/ref=sxin_2_ac_d_pm?ac_md=2-1-QmV0d2VlbiAkMjUgYW5kICQ0MA%3D%3D-ac_d_pm&keywords=headphones&pd_rd_i=B00JRD13T8&pd_rd_r=1bcb70c8-3f6e-4886-bb57-28e239d98fa0&pd_rd_w=pOJz3&pd_rd_wg=IQP2C&pf_rd_p=02e79b16-eab7-4369-852f-d04a58a4d9b5&pf_rd_r=A3N3741Y69TN8NNWHKA5&psc=1&qid=1570712325&s=aht,Electronics,$29.99,$49.99
TOZO T10 Bluetooth 5.0 Wireless Earbuds with 【Wireless Charging Case】 IPX8 Waterproof TWS Stereo Headphones in-Ear Built-in Mic Headset Premium Sound with Deep Bass for Sport,4.4 out of 5 stars,"12,969",https://www.amazon.com/TOZO-Bluetooth-Wireless-Headphones-Waterproof/dp/B07J2Z5DBM/ref=sxin_2_ac_d_pm?ac_md=3-2-QmV0d2VlbiAkNDAgYW5kICQ1MA%3D%3D-ac_d_pm&keywords=headphones&pd_rd_i=B07J2Z5DBM&pd_rd_r=1bcb70c8-3f6e-4886-bb57-28e239d98fa0&pd_rd_w=pOJz3&pd_rd_wg=IQP2C&pf_rd_p=02e79b16-eab7-4369-852f-d04a58a4d9b5&pf_rd_r=A3N3741Y69TN8NNWHKA5&psc=1&qid=1570712325&s=aht,Electronics,$49.99,
"SIMGOT MT3 Hi-Res in-Ear Monitor Headphones, IEM Earphones with Detachable Cable, Noise-Isolating Musician Headset with Dynamic Driver, Design HiFi Earbuds for Smartphones and Audio Players (Clear)",4.6 out of 5 stars,41,https://www.amazon.com/Ear-Monitor-Headphones-Noise-Isolating-Smartphones/dp/B07JPL6RDS/ref=sxin_2_ac_d_pm?ac_md=4-3-QWJvdmUgJDUw-ac_d_pm&keywords=headphones&pd_rd_i=B07JPL6RDS&pd_rd_r=1bcb70c8-3f6e-4886-bb57-28e239d98fa0&pd_rd_w=pOJz3&pd_rd_wg=IQP2C&pf_rd_p=02e79b16-eab7-4369-852f-d04a58a4d9b5&pf_rd_r=A3N3741Y69TN8NNWHKA5&psc=1&qid=1570712325&s=aht,Electronics,$69.99,$95.99
,,,,,,
"Bose QuietComfort 35 II Wireless Bluetooth Headphones, Noise-Cancelling, with Alexa voice control, enabled with Bose AR – Black",4.4 out of 5 stars,"3,573",https://www.amazon.com/Bose-QuietComfort-Wireless-Headphones-Cancelling/dp/B0756CYWWD/ref=sxin_3_osp21-bc0957bb_cov?ascsubtag=bc0957bb-263c-40cc-a2bf-c26a24e87fca&creativeASIN=B0756CYWWD&cv_ct_id=amzn1.osp.bc0957bb-263c-40cc-a2bf-c26a24e87fca&cv_ct_pg=search&cv_ct_wn=osp-search&keywords=headphones&linkCode=oas&pd_rd_i=B0756CYWWD&pd_rd_r=1bcb70c8-3f6e-4886-bb57-28e239d98fa0&pd_rd_w=Xm0qt&pd_rd_wg=IQP2C&pf_rd_p=a23a388c-add5-49df-b293-a31ade89c6bf&pf_rd_r=A3N3741Y69TN8NNWHKA5&qid=1570712325&s=aht&tag=onsitertings-20,Electronics,$349.00,
"Mpow Dual-Mic Active Noise Cancelling Bluetooth Headphones, ANC Over-Ear Wireless Headphones with CVC 6.0 Microphone, Deep Bass Hi-Fi Sound, Soft Protein Earpads, Foldable Headset for Travel/Work",4.5 out of 5 stars,248,https://www.amazon.com/Mpow-Cancelling-Bluetooth-Headphones-Microphone/dp/B07TJ2ZV4D/ref=sxin_3_osp21-bc0957bb_cov?ascsubtag=bc0957bb-263c-40cc-a2bf-c26a24e87fca&creativeASIN=B07TJ2ZV4D&cv_ct_id=amzn1.osp.bc0957bb-263c-40cc-a2bf-c26a24e87fca&cv_ct_pg=search&cv_ct_wn=osp-search&keywords=headphones&linkCode=oas&pd_rd_i=B07TJ2ZV4D&pd_rd_r=1bcb70c8-3f6e-4886-bb57-28e239d98fa0&pd_rd_w=Xm0qt&pd_rd_wg=IQP2C&pf_rd_p=a23a388c-add5-49df-b293-a31ade89c6bf&pf_rd_r=A3N3741Y69TN8NNWHKA5&qid=1570712325&s=aht&tag=onsitertings-20,Electronics,$59.99,
Sony Noise Cancelling Headphones WH1000XM3: Wireless Bluetooth Over the Ear Headphones with Mic and Alexa voice control - Industry Leading Active Noise Cancellation - Black,4.4 out of 5 stars,"2,161",https://www.amazon.com/Sony-Noise-Cancelling-Headphones-WH1000XM3/dp/B07G4MNFS1/ref=sxin_3_osp21-bc0957bb_cov?ascsubtag=bc0957bb-263c-40cc-a2bf-c26a24e87fca&creativeASIN=B07G4MNFS1&cv_ct_id=amzn1.osp.bc0957bb-263c-40cc-a2bf-c26a24e87fca&cv_ct_pg=search&cv_ct_wn=osp-search&keywords=headphones&linkCode=oas&pd_rd_i=B07G4MNFS1&pd_rd_r=1bcb70c8-3f6e-4886-bb57-28e239d98fa0&pd_rd_w=Xm0qt&pd_rd_wg=IQP2C&pf_rd_p=a23a388c-add5-49df-b293-a31ade89c6bf&pf_rd_r=A3N3741Y69TN8NNWHKA5&qid=1570712325&s=aht&tag=onsitertings-20,Electronics,$348.00,
"Samsung Galaxy Buds , Bluetooth True Wireless Earbuds (Wireless charging Case included), Black - US Version with Warranty",4.1 out of 5 stars,"2,771",https://www.amazon.com/Samsung-Bluetooth-Wireless-Charging-Included/dp/B07MWCNR3W/ref=sxin_3_osp21-bc0957bb_cov?ascsubtag=bc0957bb-263c-40cc-a2bf-c26a24e87fca&creativeASIN=B07MWCNR3W&cv_ct_id=amzn1.osp.bc0957bb-263c-40cc-a2bf-c26a24e87fca&cv_ct_pg=search&cv_ct_wn=osp-search&keywords=headphones&linkCode=oas&pd_rd_i=B07MWCNR3W&pd_rd_r=1bcb70c8-3f6e-4886-bb57-28e239d98fa0&pd_rd_w=Xm0qt&pd_rd_wg=IQP2C&pf_rd_p=a23a388c-add5-49df-b293-a31ade89c6bf&pf_rd_r=A3N3741Y69TN8NNWHKA5&qid=1570712325&s=aht&tag=onsitertings-20,Electronics,,
Sony Noise Cancelling Headphones WH1000XM3: Wireless Bluetooth Over the Ear Headphones with Mic and Alexa voice control - Industry Leading Active Noise Cancellation - Black,4.4 out of 5 stars,Sponsored,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_electronics_sr_pg1_1?ie=UTF8&adId=A007795327LFNTUITFF33&url=%2FSony-Noise-Cancelling-Headphones-WH1000XM3%2Fdp%2FB07G4MNFS1%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dheadphones%26qid%3D1570712325%26s%3Daht%26sr%3D1-1-spons%26psc%3D1&qualifier=1570712324&id=7126474431347436&widgetName=sp_atf,Electronics,$348.00,
