url,features
,
,
,
,
https://www.amazon.com/i37-Headphones-Adjustable-Compatible-Cellphones/dp/B078XZX9MD/ref=sr_1_28?keywords=headphones&qid=1570712325&s=aht&sr=1-28,"['Excellent Sound: Stereo bass headphone with excellent sound effect, 3.5mm plug compatible with all 3.5mm jack devices', ""Durable and Not Tangle: The headphone cord length is 4.9 ft (1.5m), using high quality cloth, so it's very durable and not tangle, suitable for kids, children, not easily damaged"", 'Adjustable: The adjustable band allows you to get the perfect fit for your head shape. It is not only suitable for your children, but also for many adults', 'Easy To Carry: Folding design make it convenient to carry, you can easily put it in the suitcase or bag, more easy to carry it. When you take your children out for a trip, take a plane, take a car, this headphone would be a good companion', 'Support: 1 Year Hassle-Free-Warranty and quickly response customer service, for any questions while using, please contact us at any time via Amazon email or through the contact information on the instructions']"
https://www.amazon.com/Bose-SoundLink-around-ear-wireless-headphones/dp/B0117RGG8E/ref=sr_1_20?keywords=headphones&qid=1570712328&sr=8-20,"['Deep, immersive sound, improved EQ best in class performance for wireless headphones. Connectivity Technology: Wired/Wireless', 'Latest Bluetooth technology for easy connectivity and seamless audio/video syncs', 'Advanced microphone system, HD voice for clear calls in windy or noisy environments', 'Up to 15 hours play time with rechargeable lithium ion battery', 'Switch between two Bluetooth devices so you can watch a video while staying connected to your smartphone.Wireless range up to 30 feet (9 meter)']"
https://www.amazon.com/Bose-SoundLink-around-ear-wireless-headphones/dp/B0117RGG8E/ref=sr_1_20?keywords=headphones&qid=1570712331&sr=8-20,"['Deep, immersive sound, improved EQ best in class performance for wireless headphones. Connectivity Technology: Wired/Wireless', 'Latest Bluetooth technology for easy connectivity and seamless audio/video syncs', 'Advanced microphone system, HD voice for clear calls in windy or noisy environments', 'Up to 15 hours play time with rechargeable lithium ion battery', 'Switch between two Bluetooth devices so you can watch a video while staying connected to your smartphone.Wireless range up to 30 feet (9 meter)']"
https://www.amazon.com/Boltune-Cancelling-Headphones-Bluetooth-Microphone/dp/B07TS7J845/ref=sr_1_36?keywords=headphones&qid=1570712335&sr=8-36,"[""Upgraded Hybrid Active Noise Cancelling Technology (QCC3003+AMS3415) : Improved hybrid noise cancelling technology not only effectively reduces external noise by 96% while travelling on subway, bus, plane or at a loud office, but also reduces the headphones' internal noise, like white noise, improve the sound you listen to; in your world, there's nothing but music."", 'Impressive HD sound with Deep bass: upgraded Bolton active noise cancelling headphones come with 45mm large-aperture drivers for impressive HD sound quality & CAPTIVATING bass, enjoy the music in a more authentic way.', 'Cozy protein ear pads and high-tech aluminum alloy material: Bluetooth headphones equipped with professional high imitation protein ear pads that are non-toxic & skin friendly for first class comfort; high-tech aluminum alloy headband is rotatable, light & durable.', 'Bluetooth 5. 0 and built-in CVC 6. 0 microphone: Bolton wireless headphones with Bluetooth 5. 0 for a more effective and stable connection range (66ft); enjoy hands-free calls with built-in CVC 6. 0 microphone.', '30-Hour playtime and fast charge: Bolton over ear headphone’s built-in 680mAh battery delivers 30 hours playtime with less than 1 hour of charge, charge for 5 minutes for more than 2 hours use. Bolton provides 60 days free refund & 24 months with 5 Star service, Contact us anytime.']"
https://www.amazon.com/Koss-KPH7-Lightweight-Portable-Headphone/dp/B006T9ZKAQ/ref=sr_1_52?keywords=headphones&qid=1570712338&sr=8-52,"['Adjustable headband for comfort and secure fit', '3.5mm plug and 4 ft. cord', 'Deep base response', 'Frequency response 80-18,000 hz, 91db SPL sensitivity', '32 Ohms']"
https://www.amazon.com/iClever-Kids-Headphones-Adjustable-Untangled/dp/B076JDPH5D/ref=sr_1_68?keywords=headphones&qid=1570712342&sr=8-68,"['IMMERSIVE SOUND & CARING FOR YOUR KIDS - Adopted the most advanced auditory system for different listening purposes. Designed for safety, iClever kids headphones are engineered with a built-in, volume-limiting circuitry that caps the sound automatically at 94dB. Not only it permits harmful noise exposure and minimize the risk of damaging children’s hearing, but also gives parents a piece of mind, not having to constantly monitor the volume', 'PILLOW-SOFT & ADJUSTABLE HEADBAND - The stainless steel slider headband is covered with thicken foam, which express pillow-soft and burden-free feeling after lengthy listening sessions. It is deliberately tough and durable: no amount of grabbing, squishing and bending is going to damage it. Adjustable headband meets the requirement of all head sizes. What’s more, the memory-protein cushioned earmuffs also help you minimize tiredness', 'UNTANGLED WIRES & FOLDABILITY - Made of premium nylon fabric, the audio cable is sturdy enough to withstand certain extent of pulling, dragging and rubbing. Another bright spot is that it won’t knot in a mess. Let alone wasting time in untangling headachy wires. Foldable design facilitates a lot in some way. Convenient in carrying and storage. Just drag it into your bag and take it out for different sound options when you feel boring', 'KIDS WELFARE - iClever headphones for kids are available in a stylish and kid-friendly vibrant blue, which will catch the fancy of children of different ages at their first sight. It only weighs 6.1 ounces, so it is a lightweight design for kids aged 3 and up, and won’t become their burden. The wonderful sound is matched by standout comfort. Plus, iClever kids headphone is an ideal companion for sound occasions', 'WIDE COMPATIABILITY & SATISFYING WARRANT: It is compatible with all the smartphones with 3.5mm aux, like iPhone, Android, laptops and so on. If your headset breaks or is damaged for any reasons, we will give the most satisfying reply. Please feel free to reach our customer service. You are entitled to enjoy 45 Days Money Back Guarantee, 18 Months Replacement Warranty']"
