,company,type,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
0,apple ,EarPods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,panasonic,RP-HJE120-K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,panasonic,RP-HJE125-V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,panasonic,XBS RP-HT21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,panasonic,RPHJE123P1Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,panasonic,RP-HJE120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,panasonic,RP-HJE125E-R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,panasonic,RPHS46EW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,panasonic,RPNJ300BEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,panasonic,RP-HV41-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,panasonic,RP-HV41-A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,panasonic,RP-HS16-S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,panasonic,RF-2400D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,panasonic,RP-BTS10-R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,panasonic,RP-HS46-K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,panasonic,RP-HJE165-AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
